league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,1,2025-08-15,Liverpool,Bournemouth,,,,,,,missing
PL,1,2025-08-16,Aston Villa,Newcastle,,,,,,,missing
PL,1,2025-08-16,Brighton,Fulham,,,,,,,missing
PL,1,2025-08-16,Sunderland,West Ham,,,,,,,missing
PL,1,2025-08-16,Tottenham,Burnley,,,,,,,missing
PL,1,2025-08-16,Wolves,Manchester City,,,,,,,missing
PL,1,2025-08-17,Nottm Forest,Brentford,,,,,,,missing
PL,1,2025-08-17,Chelsea,Crystal Palace,,,,,,,missing
PL,1,2025-08-17,Manchester United,Arsenal,,,,,,,missing
PL,1,2025-08-18,Leeds United,Everton,,,,,,,missing
