league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,5,2025-09-20,Liverpool,Everton,,,,,,,missing
PL,5,2025-09-20,Brighton,Tottenham,,,,,,,missing
PL,5,2025-09-20,Burnley,Nottm Forest,,,,,,,missing
PL,5,2025-09-20,West Ham,Crystal Palace,,,,,,,missing
PL,5,2025-09-20,Wolves,Leeds United,,,,,,,missing
PL,5,2025-09-20,Manchester United,Chelsea,,,,,,,missing
PL,5,2025-09-20,Fulham,Brentford,,,,,,,missing
PL,5,2025-09-21,Bournemouth,Newcastle,,,,,,,missing
PL,5,2025-09-21,Sunderland,Aston Villa,,,,,,,missing
PL,5,2025-09-21,Arsenal,Manchester City,,,,,,,missing
