league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,2,2025-08-22,West Ham,Chelsea,,,,,,,missing
PL,2,2025-08-23,Manchester City,Tottenham,,,,,,,missing
PL,2,2025-08-23,Bournemouth,Wolves,,,,,,,missing
PL,2,2025-08-23,Brentford,Aston Villa,,,,,,,missing
PL,2,2025-08-23,Burnley,Sunderland,,,,,,,missing
PL,2,2025-08-23,Arsenal,Leeds United,,,,,,,missing
PL,2,2025-08-24,Crystal Palace,Nottm Forest,,,,,,,missing
PL,2,2025-08-24,Everton,Brighton,,,,,,,missing
PL,2,2025-08-24,Fulham,Manchester United,,,,,,,missing
PL,2,2025-08-25,Newcastle,Liverpool,,,,,,,missing
