league,week,date,home_team,away_team,home_score,away_score,result,status
PL,6,2025-09-27,Brentford,Manchester United,,,,TIMED
PL,6,2025-09-27,Crystal Palace,Liverpool,,,,TIMED
PL,6,2025-09-27,Chelsea,Brighton,,,,TIMED
PL,6,2025-09-27,Leeds United,Bournemouth,,,,TIMED
PL,6,2025-09-27,Manchester City,Burnley,,,,TIMED
PL,6,2025-09-27,Nottm Forest,Sunderland,,,,TIMED
PL,6,2025-09-27,Tottenham,Wolves,,,,TIMED
PL,6,2025-09-28,Aston Villa,Fulham,,,,TIMED
PL,6,2025-09-28,Newcastle,Arsenal,,,,TIMED
PL,6,2025-09-29,Everton,West Ham,,,,TIMED
