league,week,date,home_team,away_team,home_score,away_score,result,status
PL,4,2025-09-13,Arsenal,Nottm Forest,3,,,FINISHED
PL,4,2025-09-13,Bournemouth,Brighton,2,1,H,FINISHED
PL,4,2025-09-13,Crystal Palace,Sunderland,,,,FINISHED
PL,4,2025-09-13,Everton,Aston Villa,,,,FINISHED
PL,4,2025-09-13,Fulham,Leeds United,1,,,FINISHED
PL,4,2025-09-13,Newcastle,Wolves,1,,,FINISHED
PL,4,2025-09-13,West Ham,Tottenham,,3,,FINISHED
PL,4,2025-09-13,Brentford,Chelsea,2,2,D,FINISHED
PL,4,2025-09-14,Burnley,Liverpool,,1,,FINISHED
PL,4,2025-09-14,Manchester City,Manchester United,3,,,FINISHED
