league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,6,2025-09-27,Brentford,Manchester United,,,,,,,missing
PL,6,2025-09-27,Crystal Palace,Liverpool,,,,,,,missing
PL,6,2025-09-27,Chelsea,Brighton,,,,,,,missing
PL,6,2025-09-27,Leeds United,Bournemouth,,,,,,,missing
PL,6,2025-09-27,Manchester City,Burnley,,,,,,,missing
PL,6,2025-09-27,Nottm Forest,Sunderland,,,,,,,missing
PL,6,2025-09-27,Tottenham,Wolves,,,,,,,missing
PL,6,2025-09-28,Aston Villa,Fulham,,,,,,,missing
PL,6,2025-09-28,Newcastle,Arsenal,,,,,,,missing
PL,6,2025-09-29,Everton,West Ham,,,,,,,missing
