league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,3,2025-08-30,Chelsea,Fulham,,,,,,,missing
PL,3,2025-08-30,Sunderland,Brentford,,,,,,,missing
PL,3,2025-08-30,Manchester United,Burnley,,,,,,,missing
PL,3,2025-08-30,Tottenham,Bournemouth,,,,,,,missing
PL,3,2025-08-30,Wolves,Everton,,,,,,,missing
PL,3,2025-08-30,Leeds United,Newcastle,,,,,,,missing
PL,3,2025-08-31,Brighton,Manchester City,,,,,,,missing
PL,3,2025-08-31,Nottm Forest,West Ham,,,,,,,missing
PL,3,2025-08-31,Liverpool,Arsenal,,,,,,,missing
PL,3,2025-08-31,Aston Villa,Crystal Palace,,,,,,,missing
