league,week,date,home_team,away_team,home_score,away_score,result,status
PL,5,2025-09-20,Liverpool,Everton,2,1,H,FINISHED
PL,5,2025-09-20,Brighton,Tottenham,2,2,D,FINISHED
PL,5,2025-09-20,Burnley,Nottm Forest,1,1,D,FINISHED
PL,5,2025-09-20,West Ham,Crystal Palace,1,2,A,FINISHED
PL,5,2025-09-20,Wolves,Leeds United,1,3,A,FINISHED
PL,5,2025-09-20,Manchester United,Chelsea,2,1,H,FINISHED
PL,5,2025-09-20,Fulham,Brentford,3,1,H,FINISHED
PL,5,2025-09-21,Bournemouth,Newcastle,,,,FINISHED
PL,5,2025-09-21,Sunderland,Aston Villa,1,1,D,FINISHED
PL,5,2025-09-21,Arsenal,Manchester City,1,1,D,FINISHED
