league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PL,4,2025-09-13,Arsenal,Nottm Forest,,,,,,,missing
PL,4,2025-09-13,Bournemouth,Brighton,,,,,,,missing
PL,4,2025-09-13,Crystal Palace,Sunderland,,,,,,,missing
PL,4,2025-09-13,Everton,Aston Villa,,,,,,,missing
PL,4,2025-09-13,Fulham,Leeds United,,,,,,,missing
PL,4,2025-09-13,Newcastle,Wolves,,,,,,,missing
PL,4,2025-09-13,West Ham,Tottenham,,,,,,,missing
PL,4,2025-09-13,Brentford,Chelsea,,,,,,,missing
PL,4,2025-09-14,Burnley,Liverpool,,,,,,,missing
PL,4,2025-09-14,Manchester City,Manchester United,,,,,,,missing
