league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,5,2025-09-19,Real Betis,Real Sociedad De Futbol,,,,,,,missing
PD,5,2025-09-20,Girona,Levante,,,,,,,missing
PD,5,2025-09-20,Real Madrid CF,Espanyol De Barcelona,,,,,,,missing
PD,5,2025-09-20,Villarreal,Osasuna,,,,,,,missing
PD,5,2025-09-20,Alaves,Sevilla FC,,,,,,,missing
PD,5,2025-09-20,Valencia CF,Athletic Club,,,,,,,missing
PD,5,2025-09-21,Rayo Vallecano De Madrid,RC Celta De Vigo,,,,,,,missing
PD,5,2025-09-21,Mallorca,Club Atletico De Madrid,,,,,,,missing
PD,5,2025-09-21,Elche,Real Oviedo,,,,,,,missing
PD,5,2025-09-21,FC Barcelona,Getafe,,,,,,,missing
