league,week,date,home_team,away_team,home_score,away_score,result,status
PD,3,2025-08-29,Elche,Levante,2,,,FINISHED
PD,3,2025-08-29,Valencia CF,Getafe,3,,,FINISHED
PD,3,2025-08-30,Alaves,Club Atletico De Madrid,1,1,D,FINISHED
PD,3,2025-08-30,Real Oviedo,Real Sociedad De Futbol,1,,,FINISHED
PD,3,2025-08-30,Girona,Sevilla FC,,2,,FINISHED
PD,3,2025-08-30,Real Madrid CF,Mallorca,2,1,H,FINISHED
PD,3,2025-08-31,RC Celta De Vigo,Villarreal,1,1,D,FINISHED
PD,3,2025-08-31,Real Betis,Athletic Club,1,2,A,FINISHED
PD,3,2025-08-31,Espanyol De Barcelona,Osasuna,1,,,FINISHED
PD,3,2025-08-31,Rayo Vallecano De Madrid,FC Barcelona,1,1,D,FINISHED
