league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,6,2025-08-27,RC Celta De Vigo,Real Betis,,,,,,,missing
PD,6,2025-09-23,Athletic Club,Girona,,,,,,,missing
PD,6,2025-09-23,Espanyol De Barcelona,Valencia CF,,,,,,,missing
PD,6,2025-09-23,Levante,Real Madrid CF,,,,,,,missing
PD,6,2025-09-23,Sevilla FC,Villarreal,,,,,,,missing
PD,6,2025-09-24,Getafe,Alaves,,,,,,,missing
PD,6,2025-09-24,Club Atletico De Madrid,Rayo Vallecano De Madrid,,,,,,,missing
PD,6,2025-09-24,Real Sociedad De Futbol,Mallorca,,,,,,,missing
PD,6,2025-09-25,Osasuna,Elche,,,,,,,missing
PD,6,2025-09-25,Real Oviedo,FC Barcelona,,,,,,,missing
