league,week,date,home_team,away_team,home_score,away_score,result,status
PD,2,2025-08-22,Real Betis,Alaves,1,,,FINISHED
PD,2,2025-08-23,Mallorca,RC Celta De Vigo,1,1,D,FINISHED
PD,2,2025-08-23,Club Atletico De Madrid,Elche,1,1,D,FINISHED
PD,2,2025-08-23,Levante,FC Barcelona,2,3,A,FINISHED
PD,2,2025-08-24,Osasuna,Valencia CF,1,,,FINISHED
PD,2,2025-08-24,Real Sociedad De Futbol,Espanyol De Barcelona,2,2,D,FINISHED
PD,2,2025-08-24,Villarreal,Girona,5,,,FINISHED
PD,2,2025-08-24,Real Oviedo,Real Madrid CF,,3,,FINISHED
PD,2,2025-08-25,Athletic Club,Rayo Vallecano De Madrid,1,,,FINISHED
PD,2,2025-08-25,Sevilla FC,Getafe,1,2,A,FINISHED
