league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,3,2025-08-29,Elche,Levante,,,,,,,missing
PD,3,2025-08-29,Valencia CF,Getafe,,,,,,,missing
PD,3,2025-08-30,Alaves,Club Atletico De Madrid,,,,,,,missing
PD,3,2025-08-30,Real Oviedo,Real Sociedad De Futbol,,,,,,,missing
PD,3,2025-08-30,Girona,Sevilla FC,,,,,,,missing
PD,3,2025-08-30,Real Madrid CF,Mallorca,,,,,,,missing
PD,3,2025-08-31,RC Celta De Vigo,Villarreal,,,,,,,missing
PD,3,2025-08-31,Real Betis,Athletic Club,,,,,,,missing
PD,3,2025-08-31,Espanyol De Barcelona,Osasuna,,,,,,,missing
PD,3,2025-08-31,Rayo Vallecano De Madrid,FC Barcelona,,,,,,,missing
