league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,4,2025-09-12,Sevilla FC,Elche,,,,,,,missing
PD,4,2025-09-13,Getafe,Real Oviedo,,,,,,,missing
PD,4,2025-09-13,Real Sociedad De Futbol,Real Madrid CF,,,,,,,missing
PD,4,2025-09-13,Athletic Club,Alaves,,,,,,,missing
PD,4,2025-09-13,Club Atletico De Madrid,Villarreal,,,,,,,missing
PD,4,2025-09-14,RC Celta De Vigo,Girona,,,,,,,missing
PD,4,2025-09-14,Levante,Real Betis,,,,,,,missing
PD,4,2025-09-14,Osasuna,Rayo Vallecano De Madrid,,,,,,,missing
PD,4,2025-09-14,FC Barcelona,Valencia CF,,,,,,,missing
PD,4,2025-09-15,Espanyol De Barcelona,Mallorca,,,,,,,missing
