league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,7,2025-09-26,Girona,Espanyol De Barcelona,,,,,,,missing
PD,7,2025-09-27,Getafe,Levante,,,,,,,missing
PD,7,2025-09-27,Club Atletico De Madrid,Real Madrid CF,,,,,,,missing
PD,7,2025-09-27,Mallorca,Alaves,,,,,,,missing
PD,7,2025-09-27,Villarreal,Athletic Club,,,,,,,missing
PD,7,2025-09-28,Rayo Vallecano De Madrid,Sevilla FC,,,,,,,missing
PD,7,2025-09-28,Elche,RC Celta De Vigo,,,,,,,missing
PD,7,2025-09-28,FC Barcelona,Real Sociedad De Futbol,,,,,,,missing
PD,7,2025-09-28,Real Betis,Osasuna,,,,,,,missing
PD,7,2025-09-29,Valencia CF,Real Oviedo,,,,,,,missing
