league,week,date,home_team,away_team,home_score,away_score,result,status
PD,7,2025-09-26,Girona,Espanyol De Barcelona,,,,FINISHED
PD,7,2025-09-27,Getafe,Levante,,,,TIMED
PD,7,2025-09-27,Club Atletico De Madrid,Real Madrid CF,,,,TIMED
PD,7,2025-09-27,Mallorca,Alaves,,,,TIMED
PD,7,2025-09-27,Villarreal,Athletic Club,,,,TIMED
PD,7,2025-09-28,Rayo Vallecano De Madrid,Sevilla FC,,,,TIMED
PD,7,2025-09-28,Elche,RC Celta De Vigo,,,,TIMED
PD,7,2025-09-28,FC Barcelona,Real Sociedad De Futbol,,,,TIMED
PD,7,2025-09-28,Real Betis,Osasuna,,,,TIMED
PD,7,2025-09-29,Valencia CF,Real Oviedo,,,,TIMED
