league,week,date,home_team,away_team,home_score,away_score,result,status
PD,4,2025-09-12,Sevilla FC,Elche,2,2,D,FINISHED
PD,4,2025-09-13,Getafe,Real Oviedo,2,,,FINISHED
PD,4,2025-09-13,Real Sociedad De Futbol,Real Madrid CF,1,2,A,FINISHED
PD,4,2025-09-13,Athletic Club,Alaves,,1,,FINISHED
PD,4,2025-09-13,Club Atletico De Madrid,Villarreal,2,,,FINISHED
PD,4,2025-09-14,RC Celta De Vigo,Girona,1,1,D,FINISHED
PD,4,2025-09-14,Levante,Real Betis,2,2,D,FINISHED
PD,4,2025-09-14,Osasuna,Rayo Vallecano De Madrid,2,,,FINISHED
PD,4,2025-09-14,FC Barcelona,Valencia CF,6,,,FINISHED
PD,4,2025-09-15,Espanyol De Barcelona,Mallorca,3,2,H,FINISHED
