league,week,date,home_team,away_team,home_score,away_score,result,status
PD,8,2025-10-03,Osasuna,Getafe,,,,TIMED
PD,8,2025-10-04,Real Oviedo,Levante,,,,TIMED
PD,8,2025-10-04,Girona,Valencia CF,,,,TIMED
PD,8,2025-10-04,Athletic Club,Mallorca,,,,TIMED
PD,8,2025-10-04,Real Madrid CF,Villarreal,,,,TIMED
PD,8,2025-10-05,Alaves,Elche,,,,TIMED
PD,8,2025-10-05,Sevilla FC,FC Barcelona,,,,TIMED
PD,8,2025-10-05,Espanyol De Barcelona,Real Betis,,,,TIMED
PD,8,2025-10-05,Real Sociedad De Futbol,Rayo Vallecano De Madrid,,,,TIMED
PD,8,2025-10-05,RC Celta De Vigo,Club Atletico De Madrid,,,,TIMED
