league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
PD,2,2025-08-22,Real Betis,Alaves,,,,,,,missing
PD,2,2025-08-23,Mallorca,RC Celta De Vigo,,,,,,,missing
PD,2,2025-08-23,Club Atletico De Madrid,Elche,,,,,,,missing
PD,2,2025-08-23,Levante,FC Barcelona,,,,,,,missing
PD,2,2025-08-24,Osasuna,Valencia CF,,,,,,,missing
PD,2,2025-08-24,Real Sociedad De Futbol,Espanyol De Barcelona,,,,,,,missing
PD,2,2025-08-24,Villarreal,Girona,,,,,,,missing
PD,2,2025-08-24,Real Oviedo,Real Madrid CF,,,,,,,missing
PD,2,2025-08-25,Athletic Club,Rayo Vallecano De Madrid,,,,,,,missing
PD,2,2025-08-25,Sevilla FC,Getafe,,,,,,,missing
