league,week,date,home_team,away_team,home_score,away_score,result,status
PD,6,2025-08-27,RC Celta De Vigo,Real Betis,1,1,D,FINISHED
PD,6,2025-09-23,Athletic Club,Girona,1,1,D,FINISHED
PD,6,2025-09-23,Espanyol De Barcelona,Valencia CF,2,2,D,FINISHED
PD,6,2025-09-23,Levante,Real Madrid CF,1,4,A,FINISHED
PD,6,2025-09-23,Sevilla FC,Villarreal,1,2,A,FINISHED
PD,6,2025-09-24,Getafe,Alaves,1,1,D,FINISHED
PD,6,2025-09-24,Club Atletico De Madrid,Rayo Vallecano De Madrid,3,2,H,FINISHED
PD,6,2025-09-24,Real Sociedad De Futbol,Mallorca,1,,,FINISHED
PD,6,2025-09-25,Osasuna,Elche,1,1,D,FINISHED
PD,6,2025-09-25,Real Oviedo,FC Barcelona,1,3,A,FINISHED
