league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
BL1,3,2025-09-12,Bayer 04 Leverkusen,Eintracht Frankfurt,,,,,,,missing
BL1,3,2025-09-13,SC Freiburg,VfB Stuttgart,,,,,,,missing
BL1,3,2025-09-13,FSV Mainz,RB Leipzig,,,,,,,missing
BL1,3,2025-09-13,VfL Wolfsburg,1. FC Köln,,,,,,,missing
BL1,3,2025-09-13,Union Berlin,TSG 1899 Hoffenheim,,,,,,,missing
BL1,3,2025-09-13,Heidenheim,Borussia Dortmund,,,,,,,missing
BL1,3,2025-09-13,Bayern Munich,Hamburger SV,,,,,,,missing
BL1,3,2025-09-14,St Pauli,FC Augsburg,,,,,,,missing
BL1,3,2025-09-14,Borussia Mönchengladbach,SV Werder Bremen,,,,,,,missing
