league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
BL1,1,2025-08-22,Bayern Munich,RB Leipzig,,,,,,,missing
BL1,1,2025-08-23,Eintracht Frankfurt,SV Werder Bremen,,,,,,,missing
BL1,1,2025-08-23,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,,,,,,,missing
BL1,1,2025-08-23,SC Freiburg,FC Augsburg,,,,,,,missing
BL1,1,2025-08-23,Union Berlin,VfB Stuttgart,,,,,,,missing
BL1,1,2025-08-23,Heidenheim,VfL Wolfsburg,,,,,,,missing
BL1,1,2025-08-23,St Pauli,Borussia Dortmund,,,,,,,missing
BL1,1,2025-08-24,FSV Mainz,1. FC Köln,,,,,,,missing
BL1,1,2025-08-24,Borussia Mönchengladbach,Hamburger SV,,,,,,,missing
