league,week,date,home_team,away_team,home_score,away_score,result,status
BL1,1,2025-08-22,Bayern Munich,RB Leipzig,6,,,FINISHED
BL1,1,2025-08-23,Eintracht Frankfurt,SV Werder Bremen,4,1,H,FINISHED
BL1,1,2025-08-23,Bayer 04 Leverkusen,TSG 1899 Hoffenheim,1,2,A,FINISHED
BL1,1,2025-08-23,SC Freiburg,FC Augsburg,1,3,A,FINISHED
BL1,1,2025-08-23,Union Berlin,VfB Stuttgart,2,1,H,FINISHED
BL1,1,2025-08-23,Heidenheim,VfL Wolfsburg,1,3,A,FINISHED
BL1,1,2025-08-23,St Pauli,Borussia Dortmund,3,3,D,FINISHED
BL1,1,2025-08-24,FSV Mainz,1. FC Köln,,1,,FINISHED
BL1,1,2025-08-24,Borussia Mönchengladbach,Hamburger SV,,,,FINISHED
