league,week,date,home_team,away_team,home_score,away_score,result,status
BL1,6,2025-10-03,TSG 1899 Hoffenheim,1. FC Köln,,,,TIMED
BL1,6,2025-10-04,Bayer 04 Leverkusen,Union Berlin,,,,TIMED
BL1,6,2025-10-04,Borussia Dortmund,RB Leipzig,,,,TIMED
BL1,6,2025-10-04,SV Werder Bremen,St Pauli,,,,TIMED
BL1,6,2025-10-04,FC Augsburg,VfL Wolfsburg,,,,TIMED
BL1,6,2025-10-04,Eintracht Frankfurt,Bayern Munich,,,,TIMED
BL1,6,2025-10-05,VfB Stuttgart,Heidenheim,,,,TIMED
BL1,6,2025-10-05,Hamburger SV,FSV Mainz,,,,TIMED
BL1,6,2025-10-05,Borussia Mönchengladbach,SC Freiburg,,,,TIMED
