league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
BL1,2,2025-08-29,Hamburger SV,St Pauli,,,,,,,missing
BL1,2,2025-08-30,RB Leipzig,Heidenheim,,,,,,,missing
BL1,2,2025-08-30,SV Werder Bremen,Bayer 04 Leverkusen,,,,,,,missing
BL1,2,2025-08-30,VfB Stuttgart,Borussia Mönchengladbach,,,,,,,missing
BL1,2,2025-08-30,TSG 1899 Hoffenheim,Eintracht Frankfurt,,,,,,,missing
BL1,2,2025-08-30,FC Augsburg,Bayern Munich,,,,,,,missing
BL1,2,2025-08-31,VfL Wolfsburg,FSV Mainz,,,,,,,missing
BL1,2,2025-08-31,Borussia Dortmund,Union Berlin,,,,,,,missing
BL1,2,2025-08-31,1. FC Köln,SC Freiburg,,,,,,,missing
