league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
FL1,1,2025-08-15,Stade Rennais,Olympique de Marseille,,,,,,,missing
FL1,1,2025-08-16,Racing Club De Lens,Olympique Lyonnais,,,,,,,missing
FL1,1,2025-08-16,AS Monaco,Le Havre,,,,,,,missing
FL1,1,2025-08-16,OGC Nice,Toulouse,,,,,,,missing
FL1,1,2025-08-17,Stade Brestois,Lille OSC,,,,,,,missing
FL1,1,2025-08-17,AJ Auxerre,Lorient,,,,,,,missing
FL1,1,2025-08-17,Metz,RC Strasbourg Alsace,,,,,,,missing
FL1,1,2025-08-17,Angers SCO,Paris FC,,,,,,,missing
FL1,1,2025-08-17,Nantes,Paris Saint-Germain,,,,,,,missing
