league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,3,2025-08-29,Racing Club De Lens,Stade Brestois,3,1,H,FINISHED
FL1,3,2025-08-30,Lorient,Lille OSC,1,7,A,FINISHED
FL1,3,2025-08-30,Nantes,AJ Auxerre,1,,,FINISHED
FL1,3,2025-08-30,Toulouse,Paris Saint-Germain,3,6,A,FINISHED
FL1,3,2025-08-31,Angers SCO,Stade Rennais,1,1,D,FINISHED
FL1,3,2025-08-31,Le Havre,OGC Nice,3,1,H,FINISHED
FL1,3,2025-08-31,AS Monaco,RC Strasbourg Alsace,3,2,H,FINISHED
FL1,3,2025-08-31,Paris FC,Metz,3,2,H,FINISHED
FL1,3,2025-08-31,Olympique Lyonnais,Olympique de Marseille,1,,,FINISHED
