league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,6,2025-09-26,RC Strasbourg Alsace,Olympique de Marseille,1,2,A,FINISHED
FL1,6,2025-09-27,Lorient,AS Monaco,,,,TIMED
FL1,6,2025-09-27,Toulouse,Nantes,,,,TIMED
FL1,6,2025-09-27,Paris Saint-Germain,AJ Auxerre,,,,TIMED
FL1,6,2025-09-28,OGC Nice,Paris FC,,,,TIMED
FL1,6,2025-09-28,Metz,Le Havre,,,,TIMED
FL1,6,2025-09-28,Lille OSC,Olympique Lyonnais,,,,TIMED
FL1,6,2025-09-28,Angers SCO,Stade Brestois,,,,TIMED
FL1,6,2025-09-28,Stade Rennais,Racing Club De Lens,,,,TIMED
