league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,1,2025-08-15,Stade Rennais,Olympique de Marseille,1,,,FINISHED
FL1,1,2025-08-16,Racing Club De Lens,Olympique Lyonnais,,1,,FINISHED
FL1,1,2025-08-16,AS Monaco,Le Havre,3,1,H,FINISHED
FL1,1,2025-08-16,OGC Nice,Toulouse,,1,,FINISHED
FL1,1,2025-08-17,Stade Brestois,Lille OSC,3,3,D,FINISHED
FL1,1,2025-08-17,AJ Auxerre,Lorient,1,,,FINISHED
FL1,1,2025-08-17,Metz,RC Strasbourg Alsace,,1,,FINISHED
FL1,1,2025-08-17,Angers SCO,Paris FC,1,,,FINISHED
FL1,1,2025-08-17,Nantes,Paris Saint-Germain,,1,,FINISHED
