league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,2,2025-08-22,Paris Saint-Germain,Angers SCO,1,,,FINISHED
FL1,2,2025-08-23,Olympique de Marseille,Paris FC,5,2,H,FINISHED
FL1,2,2025-08-23,OGC Nice,AJ Auxerre,3,1,H,FINISHED
FL1,2,2025-08-23,Olympique Lyonnais,Metz,3,,,FINISHED
FL1,2,2025-08-24,Lorient,Stade Rennais,4,,,FINISHED
FL1,2,2025-08-24,Le Havre,Racing Club De Lens,1,2,A,FINISHED
FL1,2,2025-08-24,Toulouse,Stade Brestois,2,,,FINISHED
FL1,2,2025-08-24,RC Strasbourg Alsace,Nantes,1,,,FINISHED
FL1,2,2025-08-24,Lille OSC,AS Monaco,1,,,FINISHED
