league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,5,2025-09-19,Olympique Lyonnais,Angers SCO,1,,,FINISHED
FL1,5,2025-09-20,Nantes,Stade Rennais,2,2,D,FINISHED
FL1,5,2025-09-20,Stade Brestois,OGC Nice,4,1,H,FINISHED
FL1,5,2025-09-20,Racing Club De Lens,Lille OSC,3,,,FINISHED
FL1,5,2025-09-21,Paris FC,RC Strasbourg Alsace,2,3,A,FINISHED
FL1,5,2025-09-21,Le Havre,Lorient,1,1,D,FINISHED
FL1,5,2025-09-21,AJ Auxerre,Toulouse,1,,,FINISHED
FL1,5,2025-09-21,AS Monaco,Metz,5,2,H,FINISHED
FL1,5,2025-09-22,Olympique de Marseille,Paris Saint-Germain,1,,,FINISHED
