league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
FL1,3,2025-08-29,Racing Club De Lens,Stade Brestois,,,,,,,missing
FL1,3,2025-08-30,Lorient,Lille OSC,,,,,,,missing
FL1,3,2025-08-30,Nantes,AJ Auxerre,,,,,,,missing
FL1,3,2025-08-30,Toulouse,Paris Saint-Germain,,,,,,,missing
FL1,3,2025-08-31,Angers SCO,Stade Rennais,,,,,,,missing
FL1,3,2025-08-31,Le Havre,OGC Nice,,,,,,,missing
FL1,3,2025-08-31,AS Monaco,RC Strasbourg Alsace,,,,,,,missing
FL1,3,2025-08-31,Paris FC,Metz,,,,,,,missing
FL1,3,2025-08-31,Olympique Lyonnais,Olympique de Marseille,,,,,,,missing
