league,week,date,home_team,away_team,home_score,away_score,result,status
FL1,7,2025-10-03,Paris FC,Lorient,,,,TIMED
FL1,7,2025-10-04,Metz,Olympique de Marseille,,,,TIMED
FL1,7,2025-10-04,Stade Brestois,Nantes,,,,TIMED
FL1,7,2025-10-04,AJ Auxerre,Racing Club De Lens,,,,TIMED
FL1,7,2025-10-05,Olympique Lyonnais,Toulouse,,,,TIMED
FL1,7,2025-10-05,RC Strasbourg Alsace,Angers SCO,,,,TIMED
FL1,7,2025-10-05,Le Havre,Stade Rennais,,,,TIMED
FL1,7,2025-10-05,AS Monaco,OGC Nice,,,,TIMED
FL1,7,2025-10-05,Lille OSC,Paris Saint-Germain,,,,TIMED
