league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
FL1,2,2025-08-22,Paris Saint-Germain,Angers SCO,,,,,,,missing
FL1,2,2025-08-23,Olympique de Marseille,Paris FC,,,,,,,missing
FL1,2,2025-08-23,OGC Nice,AJ Auxerre,,,,,,,missing
FL1,2,2025-08-23,Olympique Lyonnais,Metz,,,,,,,missing
FL1,2,2025-08-24,Lorient,Stade Rennais,,,,,,,missing
FL1,2,2025-08-24,Le Havre,Racing Club De Lens,,,,,,,missing
FL1,2,2025-08-24,Toulouse,Stade Brestois,,,,,,,missing
FL1,2,2025-08-24,RC Strasbourg Alsace,Nantes,,,,,,,missing
FL1,2,2025-08-24,Lille OSC,AS Monaco,,,,,,,missing
