league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,6,2025-10-03,Hellas Verona,Sassuolo,,,,,,,csv-historic
SA,6,2025-10-04,Lazio,Torino,,,,,,,csv-historic
SA,6,2025-10-04,Parma,Lecce,,,,,,,csv-historic
SA,6,2025-10-04,Inter,Cremonese,,,,,,,missing
SA,6,2025-10-04,Atalanta,Como,2.34,3.49,3.49,0.427461,0.286269,0.286269,csv-historic
SA,6,2025-10-05,Udinese,Cagliari,,,,,,,csv-historic
SA,6,2025-10-05,Fiorentina,AS Roma,,,,,,,csv-historic
SA,6,2025-10-05,Bologna,Pisa,,,,,,,csv-historic
SA,6,2025-10-05,SSC Napoli,Genoa,,,,,,,missing
SA,6,2025-10-05,Juventus,AC Milan,,,,,,,csv-historic
