league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,5,2025-09-27,Como,Cremonese,,,,,,,missing
SA,5,2025-09-27,Juventus,Atalanta,,,,,,,missing
SA,5,2025-09-27,Cagliari,Inter,,,,,,,missing
SA,5,2025-09-28,Sassuolo,Udinese,,,,,,,missing
SA,5,2025-09-28,AS Roma,Hellas Verona,,,,,,,missing
SA,5,2025-09-28,Pisa,Fiorentina,,,,,,,missing
SA,5,2025-09-28,Lecce,Bologna,,,,,,,missing
SA,5,2025-09-28,AC Milan,SSC Napoli,,,,,,,missing
SA,5,2025-09-29,Parma,Torino,,,,,,,missing
SA,5,2025-09-29,Genoa,Lazio,,,,,,,missing
