league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,4,2025-09-19,Lecce,Cagliari,,,,,,,missing
SA,4,2025-09-20,Bologna,Genoa,,,,,,,missing
SA,4,2025-09-20,Hellas Verona,Juventus,,,,,,,missing
SA,4,2025-09-20,Udinese,AC Milan,,,,,,,missing
SA,4,2025-09-21,Lazio,AS Roma,,,,,,,missing
SA,4,2025-09-21,Torino,Atalanta,,,,,,,missing
SA,4,2025-09-21,Cremonese,Parma,,,,,,,missing
SA,4,2025-09-21,Fiorentina,Como,,,,,,,missing
SA,4,2025-09-21,Inter,Sassuolo,,,,,,,missing
SA,4,2025-09-22,SSC Napoli,Pisa,,,,,,,missing
