league,week,date,home_team,away_team,home_score,away_score,result,status
SA,3,2025-09-13,Cagliari,Parma,2,,,FINISHED
SA,3,2025-09-13,Juventus,Inter,4,3,H,FINISHED
SA,3,2025-09-13,Fiorentina,SSC Napoli,1,3,A,FINISHED
SA,3,2025-09-14,AS Roma,Torino,,1,,FINISHED
SA,3,2025-09-14,Atalanta,Lecce,4,1,H,FINISHED
SA,3,2025-09-14,Pisa,Udinese,,1,,FINISHED
SA,3,2025-09-14,Sassuolo,Lazio,1,,,FINISHED
SA,3,2025-09-14,AC Milan,Bologna,1,,,FINISHED
SA,3,2025-09-15,Hellas Verona,Cremonese,,,,FINISHED
SA,3,2025-09-15,Como,Genoa,1,1,D,FINISHED
