league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,1,2025-08-23,Genoa,Lecce,,,,,,,missing
SA,1,2025-08-23,Sassuolo,SSC Napoli,,,,,,,missing
SA,1,2025-08-23,AC Milan,Cremonese,,,,,,,missing
SA,1,2025-08-23,AS Roma,Bologna,,,,,,,missing
SA,1,2025-08-24,Cagliari,Fiorentina,,,,,,,missing
SA,1,2025-08-24,Como,Lazio,,,,,,,missing
SA,1,2025-08-24,Atalanta,Pisa,,,,,,,missing
SA,1,2025-08-24,Juventus,Parma,,,,,,,missing
SA,1,2025-08-25,Udinese,Hellas Verona,,,,,,,missing
SA,1,2025-08-25,Inter,Torino,,,,,,,missing
