league,week,date,home_team,away_team,home_score,away_score,result,status
SA,1,2025-08-23,Genoa,Lecce,,,,FINISHED
SA,1,2025-08-23,Sassuolo,SSC Napoli,,2,,FINISHED
SA,1,2025-08-23,AC Milan,Cremonese,1,2,A,FINISHED
SA,1,2025-08-23,AS Roma,Bologna,1,,,FINISHED
SA,1,2025-08-24,Cagliari,Fiorentina,1,1,D,FINISHED
SA,1,2025-08-24,Como,Lazio,2,,,FINISHED
SA,1,2025-08-24,Atalanta,Pisa,1,1,D,FINISHED
SA,1,2025-08-24,Juventus,Parma,2,,,FINISHED
SA,1,2025-08-25,Udinese,Hellas Verona,1,1,D,FINISHED
SA,1,2025-08-25,Inter,Torino,5,,,FINISHED
