league,week,date,home_team,away_team,dec_H,dec_D,dec_A,imp_H,imp_D,imp_A,source
SA,3,2025-09-13,Cagliari,Parma,,,,,,,missing
SA,3,2025-09-13,Juventus,Inter,,,,,,,missing
SA,3,2025-09-13,Fiorentina,SSC Napoli,,,,,,,missing
SA,3,2025-09-14,AS Roma,Torino,,,,,,,missing
SA,3,2025-09-14,Atalanta,Lecce,,,,,,,missing
SA,3,2025-09-14,Pisa,Udinese,,,,,,,missing
SA,3,2025-09-14,Sassuolo,Lazio,,,,,,,missing
SA,3,2025-09-14,AC Milan,Bologna,,,,,,,missing
SA,3,2025-09-15,Hellas Verona,Cremonese,,,,,,,missing
SA,3,2025-09-15,Como,Genoa,,,,,,,missing
